Group,ID,Male,Took_Chem,HS_GPA,M_SAT,M_ACT,Math_Pass,Math_A,Chem_Pass,Chem_A,cGPA,s23GPA,Alg_Intv,dMAI
1,1,1,1,3.73,,20,1,0,1,0,2.769,1.625,1,766
1,2,1,1,3.71,600,,1,1,1,1,3.857,3.8,,-97
1,3,1,1,4.02,600,24,1,0,1,0,2.423,1.9231,,137
1,4,0,1,3.75,570,,1,0,0,0,3.037,2.5833,1,-280
1,5,1,1,3.8,530,19,1,0,1,0,3.386,2.7857,1,300
1,6,1,1,4.06,530,21,1,1,1,1,4,4,1,-50
1,7,1,1,3.4,520,,1,0,1,0,2.966,3.25,,
1,8,1,1,3.48,570,,1,1,1,0,3.364,3.4,,693
1,9,1,1,3.59,590,,1,0,1,0,2.5,2.6429,,
1,10,1,1,4.15,530,,1,0,1,0,2.921,2.8,1,-319
1,11,1,1,4.3,600,25,1,1,1,0,3.7,3.6,1,
1,12,1,1,4.22,590,,1,1,1,1,3.889,3.8,1,
1,13,1,1,3.7,560,,1,0,1,0,2.931,2.625,,722
1,14,1,1,3.97,,,1,0,1,0,3.625,3.375,1,-682
1,15,1,1,3.83,530,20,1,0,1,0,3.125,2.625,1,-325
1,16,1,1,3.51,560,,1,1,1,0,3.067,3.4,,351
1,17,1,1,4.06,560,,1,1,1,0,3.647,3.6667,,686
1,18,1,1,3.99,580,,1,1,1,1,3.889,4,1,331
1,19,1,1,3.46,510,23,1,0,0,0,2.074,2.4167,,-720
1,20,1,1,3.5,570,,0,0,0,0,2.667,2.2,,-532
1,21,1,0,3.9,560,,1,0,,,2.938,3.4,1,-88
0,22,0,1,3.6,460,,1,0,1,0,3.233,2.8667,,
0,23,1,1,3.89,530,23,1,1,1,0,3.645,3.4375,,
0,24,0,1,,,,1,1,1,1,4,4,,
0,25,1,0,3.75,540,,1,0,,,3.719,3.7647,,
0,26,1,1,,560,,1,1,1,0,3.931,3.8667,,
0,27,0,0,4.41,,24,1,0,,,3.439,3,1,
0,28,1,1,3.52,600,,1,0,1,0,3.321,3.3077,,
0,29,0,1,4.27,500,19,0,0,1,0,2.914,1.5833,,
0,30,1,0,2.7,580,,0,0,,,2.444,1.5,,
0,31,0,1,,,,1,0,0,0,2.451,1.4167,,
0,32,1,0,,530,,1,0,,,3.545,3.3333,,
0,33,1,0,,420,19,1,0,,,3.333,3.25,,
0,34,0,1,4.08,540,25,0,0,0,0,2.476,0,,
0,35,1,1,3.49,,,1,0,1,0,3.25,3,,
0,36,1,1,3.38,530,,1,1,1,0,3.813,3.6471,,
